BZCAT5 Source name,RA (J2000.0),Dec (J2000.0),Redshift,Rmag,Class,Flux_density1.4,Flux_density143,X-ray_flux,Fermi_flux,Rad_opt_sp_index,Flux_density4.8,alpha_1.1-2.3,alpha_2.3-4.8,alpha_4.8-7.7,alpha_4.8-11.2,alpha_7.7-11.2,alpha_11.2-21.7,alpha_7.7-21.7,alpha_4.8-21.7,var_1.1,var_2.3,var_4.8,var_7.7,var_11.2,var_21.7,u,g,r,i,z,extinction_r,PSTARRS_offset,gMeanPSFMag,gMeanPSFMagNpt,gMeanPSFMagMin,gMeanPSFMagMax,rMeanPSFMag,rMeanPSFMagNpt,rMeanPSFMagMin,rMeanPSFMagMax,iMeanPSFMag,iMeanPSFMagNpt,iMeanPSFMagMin,iMeanPSFMagMax,zMeanPSFMag,zMeanPSFMagNpt,zMeanPSFMagMin,zMeanPSFMagMax,yMeanPSFMag,yMeanPSFMagNpt,yMeanPSFMagMin,yMeanPSFMagMax,GALEX_offset,fuv_mag,nuv_mag,e_bv,w1,w2,w3,w4,J,H,K,WISE_offset,ext_U,ext_B,ext_V,ext_R,ext_I,ext_J,ext_H,ext_K,ext_SDSS_u,ext_SDSS_g,ext_SDSS_r,ext_SDSS_i,ext_SDSS_z,ext_PS1_g,ext_PS1_r,ext_PS1_i,ext_PS1_z,ext_PS1_y
5BZQJ0004-4736,00 04 35.64,-47 36 19.51,0.884,15.9,7211,909.0,,0.85,9e-10,0.564,525.0,,0.061,-0.03,-0.276,-0.586,0.24,-0.059,-0.05,,0.306,0.467,0.502,0.366,0.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3260518593516098,18.29156,18.1201553,0.0175317265,13.20199966430664,12.10799980163574,8.779999732971191,6.473999977111816,16.16900062561035,15.23099994659424,14.38399982452393,0.3259481823850204,0.076,0.064,0.048,0.038,0.026,0.012,0.008,0.005,0.074,0.058,0.04,0.03,0.022,0.056,0.04,0.03,0.023,0.019
5BZQJ0004+2019,00 04 35.75,+20 19 42.59,0.677,21.6,7211,55.0,,,,0.834,171.0,,-0.579,0.221,0.872,1.693,,,,,,0.394,0.333,,,25.359,22.026,21.594,20.765,20.245,0.09,0.2942163025419034,21.204500198364254,7.0,20.834199905395508,21.997299194335938,21.09760093688965,13.0,20.833999633789062,21.564599990844727,20.319799423217773,15.0,19.899999618530277,21.171300888061523,20.161500930786133,8.0,19.87989997863769,20.37649917602539,19.674299240112305,5.0,19.3174991607666,20.07749938964844,,,,,15.52200031280518,14.38099956512451,11.58300018310547,,,,,0.2688003869044941,0.162,0.136,0.103,0.081,0.056,0.027,0.017,0.011,0.159,0.124,0.086,0.064,0.047,0.119,0.085,0.063,0.05,0.041
5BZQJ0005-1648,00 05 17.93,-16 48 04.71,0.78,18.4,7211,263.0,,0.44,,0.686,254.0,,0.507,-0.6,-0.957,-1.406,0.132,-0.424,-0.479,,0.222,0.441,0.362,,0.118,,,,,,,0.0711259450527428,17.434799194335938,9.0,17.368600845336914,17.60740089416504,17.448299407958984,14.0,17.32710075378418,17.637699127197266,17.767099380493164,10.0,17.63279914855957,18.10379981994629,17.52739906311035,12.0,17.359899520874023,17.649499893188477,17.80780029296875,13.0,17.602399826049805,18.03339958190918,0.746671926678881,,17.8897,0.025342539,13.64299964904785,12.61900043487549,10.15799999237061,7.744999885559082,17.17600059509277,16.27700042724609,15.6899995803833,0.2220910840228547,0.108,0.091,0.069,0.054,0.038,0.018,0.011,0.008,0.106,0.083,0.057,0.042,0.032,0.079,0.057,0.042,0.033,0.027
5BZQJ0005+0524,00 05 20.21,+05 24 10.9,1.9,16.2,7211,127.0,,0.26,,0.432,240.0,0.177,0.241,-0.377,-0.521,-0.704,-0.961,-0.868,-0.714,0.138,0.206,0.417,0.375,0.268,0.146,16.396,16.327,16.215,15.931,15.881,0.07,0.1252811602091519,16.385299682617188,5.0,16.359800338745117,16.403799057006836,16.216100692749023,8.0,16.197200775146484,16.2406005859375,15.97719955444336,17.0,15.951000213623049,16.043699264526367,15.915200233459473,8.0,15.898599624633787,15.943099975585938,15.871299743652344,11.0,15.84589958190918,15.903800010681152,0.4205616104141597,21.4692917,18.01481,0.0304972,13.25300025939941,12.64500045776367,9.699999809265137,7.583000183105469,15.00100040435791,14.47700023651123,14.05200004577637,0.1729193523006806,0.132,0.11,0.083,0.066,0.046,0.022,0.014,0.009,0.129,0.101,0.07,0.052,0.038,0.097,0.069,0.051,0.04,0.033
5BZQJ0005+3820,00 05 57.18,+38 20 15.21,0.229,17.6,7211,572.0,685.0,0.75,1e-09,0.638,525.0,-0.184,-0.01,1.088,0.181,-0.963,0.238,-0.197,0.206,,0.192,0.415,0.439,0.386,0.583,,,,,,,0.0852056471632935,19.28580093383789,11.0,19.155000686645508,19.391599655151367,18.276100158691406,10.0,18.17650032043457,18.41889953613281,17.614999771118164,10.0,17.45789909362793,17.64310073852539,17.428199768066406,4.0,17.423099517822266,17.497100830078125,17.31410026550293,7.0,17.210100173950195,17.360000610351562,0.3666020133135374,21.9680538,21.5887089,0.09010694,12.15999984741211,11.05000019073486,7.764999866485596,5.085999965667725,15.53800010681152,14.52799987792969,13.60299968719482,0.101097275934925,0.389,0.326,0.246,0.195,0.135,0.064,0.04,0.027,0.381,0.297,0.205,0.152,0.113,0.285,0.204,0.151,0.119,0.098
5BZBJ0006-0623,00 06 13.89,-06 23 35.19,0.347,17.9,7300,2051.0,1212.0,0.82,,0.799,2554.0,-0.308,0.319,-0.255,0.16,0.683,0.041,0.273,0.107,-0.04,0.338,0.544,0.585,0.525,0.656,19.161,18.556,17.871,17.428,17.034,0.09,0.1470324572427939,18.43490028381348,6.0,18.284299850463867,18.45059967041016,18.06879997253418,13.0,17.819599151611328,18.35409927368164,17.326200485229492,19.0,17.03219985961914,17.999000549316406,17.038000106811523,5.0,16.856800079345703,17.232099533081055,17.479000091552734,6.0,17.449899673461914,17.94260025024414,0.413976109070836,20.6367931,19.9530125,0.0394310728,12.15100002288818,11.00899982452393,8.022000312805176,5.519999980926514,14.73600006103516,13.83899974822998,12.87800025939941,0.1072540908310992,0.165,0.138,0.104,0.082,0.057,0.027,0.017,0.011,0.161,0.126,0.087,0.065,0.048,0.121,0.086,0.064,0.05,0.041
5BZQJ0006-4245,00 06 19.73,-42 45 18.61,1.77,18.5,7211,246.0,,,,0.657,158.0,,,-0.164,,,,0.152,0.053,,,0.182,0.346,,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1518705190913619,,19.9635143,0.009422161,15.44900035858154,14.33100032806396,11.20199966430664,8.371999740600586,,,,0.07663921710851788,0.041,0.034,0.026,0.021,0.014,0.007,0.004,0.003,0.04,0.031,0.022,0.016,0.012,0.03,0.022,0.016,0.013,0.01
5BZGJ0006+1051,00 06 20.28,+10 51 51.69,0.168,15.6,7309,12.0,,1.72,,0.105,,,,,,,,,,,,,,,,19.265,16.952,15.634,15.106,14.728,0.21,0.2617441221723957,19.23150062561035,7.0,19.156700134277344,19.34959983825684,18.35409927368164,10.0,18.167800903320312,18.798999786376957,17.451799392700195,15.0,17.105499267578125,17.753999710083008,17.677099227905273,9.0,17.402999877929688,18.07740020751953,17.42449951171875,10.0,17.146699905395508,17.598899841308594,,,,,12.82999992370605,12.6269998550415,11.98400020599365,,15.30500030517578,14.65499973297119,13.97500038146973,0.4164646808564318,0.401,0.335,0.254,0.201,0.139,0.066,0.042,0.028,0.392,0.305,0.211,0.157,0.117,0.293,0.21,0.156,0.122,0.101
5BZQJ0006+2422,00 06 48.78,+24 22 36.51,1.684,18.8,7211,184.0,,,,0.658,181.0,,0.257,0.485,0.154,-0.265,0.245,0.061,0.194,,0.087,0.252,0.016,0.353,0.13,19.063,18.844,18.773,18.506,18.494,0.2,0.1720592950525611,18.9158992767334,10.0,18.82430076599121,18.98270034790039,18.823299407958984,6.0,18.777999877929688,18.86389923095703,18.60709953308105,12.0,18.53089904785156,18.71579933166504,18.56489944458008,11.0,18.49570083618164,18.781299591064453,18.54179954528809,9.0,18.394699096679688,18.701099395751957,0.425108806577615,21.4265633,20.5463963,0.08908694,15.46700000762939,15.08399963378906,12.5930004119873,9.180999755859375,,,,7.798276669624585,0.387,0.324,0.245,0.194,0.134,0.063,0.04,0.027,0.379,0.295,0.204,0.152,0.113,0.283,0.203,0.15,0.118,0.097
5BZQJ0007-6113,00 07 20.58,-61 13 06.31,0.857,19.3,7211,87.0,,,,0.685,189.0,,,-1.061,,,,0.263,-0.152,,,0.227,0.604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9442034799199428,,20.59763,0.0116914986,16.07399940490723,15.11900043487549,12.17700004577637,,,,,0.5082073356347148,0.052,0.044,0.033,0.026,0.018,0.009,0.005,0.004,0.051,0.04,0.028,0.021,0.015,0.038,0.027,0.02,0.016,0.013
