BZCAT5 Source name,RA (J2000.0),Dec (J2000.0),Redshift,Class,Rad_opt_sp_index,alpha_1.1-2.3,alpha_2.3-4.8,alpha_4.8-7.7,alpha_4.8-11.2,alpha_7.7-11.2,alpha_11.2-21.7,alpha_7.7-21.7,alpha_4.8-21.7,var_1.1,var_2.3,var_4.8,var_7.7,var_11.2,var_21.7,universe_age_Gyr,comoving_distance_Mpc,lookback_distance_Mpc,luminosity_distance_Mpc,distance_modulus_mag,RA_sin,RA_cos,Dec_sin,ext_fuv,ext_nuv,log_nuF_fuv,log_nuF_nuv,log_nuF_g,log_nuF_r,log_nuF_i,log_nuF_z,log_nuF_y,log_nuF_Su,log_nuF_Sg,log_nuF_Sr,log_nuF_Si,log_nuF_Sz,log_nuF_J,log_nuF_H,log_nuF_K,log_nuF_w1,log_nuF_w2,log_nuF_w3,log_nuF_w4,tangent_wise,tangent_pstarrs,log_nu_radmax,i_abs,w1_abs,log_X_luminosity_W,log_nuF_X,log_gamma_luminosity_ph,log_nuF_gamma,log_radio_luminosity,log_nuF_1.4,log_nuF_143,log_nuF_4.8,nuv-g,g-r,r-i,i-z,z-y,y-w1,w1-w2,w2-w3,w3-w4,fuv-nuv,nuv-Su,Su-Sg,Sg-Sr,Sr-Si,Si-Sz,y-J,J-H,H-K,K-w1,g_var,r_var,i_var,z_var,y_var,Radio_radio_hard,IR_opt_hard,IR_UV_hard,IR_X_hard
5BZBJ1747+4937,17 47 02.59,+49 37 59.01,0.46,BLLac,0.492,,,,,,,,,,,,,,,8.84,1807.417665808569,1498.8436805271588,2638.183872589821,42.106525305688315,-0.9984023309409946,-0.056504739372804445,0.7619121308789402,0.19724489110357904,0.21338005983380123,-12.700097859819476,-12.467562579579631,-12.78753810866387,-12.715198374545936,-12.577891073076994,-12.510110832754652,-12.503208363116915,-12.76583691334496,-12.7318356729481,-12.631790010090883,-12.50929284523019,-12.497581941995817,,,,-12.556644155732755,-12.80561097786372,,,1.8088213032719427,-1.0399968699498958,15.051688993118024,-22.760224844872884,-27.109525565087726,87.57779978086737,-11.886056647693163,,,,-15.008773924307505,,,-0.0059536201609518,0.4511995544433596,0.5580999450683564,0.3227007293701192,0.13139912414550636,3.8952008666992164,0.3610000610351598,,,1.024901368730223,-0.2793536598338058,0.3880000000000017,0.5459999999999994,0.5159999999999982,0.22200000000000486,,,,,0.5002002716064489,0.5610008239746094,0.6477012634277308,0.3180999755859304,0.7462005615234375,,-0.227719904786726,-0.33804839828408895,-0.9195543301705573
5BZBJ1747+4658,17 47 26.64,+46 58 50.91,,BLLac,1.05,,0.322,0.571,0.103,-0.487,-0.272,-0.349,-0.061,,0.354,0.441,0.402,0.383,0.677,,,,,,-0.9984996287261686,-0.05475848275567408,0.7311252199443191,0.15134997503606284,0.1614369810181193,,,-13.163098039083795,-13.057518546665078,-12.947210573809416,-12.83659084374098,-12.822807746661837,-13.45823691334496,-13.2938356729481,-13.202590010090884,-13.12809284523019,-13.116381941995817,,,,-12.555444433442714,-12.490011154865671,-12.512664208626594,-12.232579437549859,-0.3220031010220268,-1.2022099113391151,,,,,-12.769551078621726,,,,-13.369572124974976,,-12.57589458248871,,0.5342989501953177,0.49060162353515935,0.4297994537353489,0.14860069274902443,4.69719863128662,1.1470003128051793,2.779000282287601,2.848999977111811,,,0.7139999999999986,0.5240000000000009,0.3960000000000008,0.2220000000000013,,,,,0.6949996948242294,0.46089935302734375,0.6219997406005859,0.8779010772705043,0.3605003356933594,-0.7936775424862663,0.4571994189437447,,0.2795399237560545
5BZQJ1747+2324,17 47 50.06,+23 24 38.7,2.203,BZQ,0.526,,0.307,-0.301,-0.193,-0.057,0.078,0.03,-0.074,,0.148,0.223,0.416,0.037,0.296,2.951,5572.795848006288,3304.159617383228,17808.154885443808,46.253094621296675,-0.9985914424319522,-0.05305780905458846,0.3973200754228943,0.5064437452089047,0.5454160736693291,,-12.58963025404542,-12.35413790114434,-12.459518442905312,-12.574650631182463,-12.576991093985121,-12.64636798225754,,,,,,,,,-12.730244161836271,-12.919610916828564,-12.857464394783822,,0.14874283701151259,0.946461776202575,13.71407043777965,-26.914895265217574,-30.822094865437293,,,112.95644511928894,-10.619197434804509,62.94256340187011,-13.771086594005311,,-13.158953534590696,1.3827160848023503,0.006898864746091249,-0.07299877929687426,0.1473989715576174,-0.05929927062988227,3.8190998992919862,0.5100002288818395,2.9909992218017614,,,,,,,,,,,,0.08650016784667969,0.20909881591796875,0.13390159606933594,0.18980026245117188,0.3978996276855469,-0.6121330594146155,-0.34496028564610093,-0.329980662783143,
5BZQJ1748+3404,17 48 05.82,+34 04 01.2,2.763,BZQ,0.681,,-0.111,0.957,0.835,0.68,0.062,0.286,0.496,,,0.489,0.189,,,2.326,6237.167506043188,3495.9107371105365,23402.10188682575,46.84627432911375,-0.998651596102397,-0.05191328926329915,0.5601619730846199,0.29986430228936567,0.324307280399389,,,-12.380978489523246,-12.163198105991249,-12.322610616534025,-12.20375115257887,-12.141488386310275,,,,,,-11.845957846054928,-11.925910521623516,-11.831836278059907,-11.725444128266934,-11.709211289143015,-11.784264168953746,-11.72897950774029,0.03581722151596951,-0.5757722270233986,13.880962869003405,-28.13817500965574,-33.927274657177705,,,,,62.18342608906365,-13.575118363368933,,-13.077793722560983,,0.8148011779785129,-0.1836995849609373,0.45039878845214787,0.269799865722657,5.068900993347162,1.0239992141723704,2.648000717163084,2.2869997024536133,,,,,,,1.9039008941650408,0.6029993667602511,0.9850005798339811,1.577000152587889,0.10900115966796875,0.7908992767334055,0.5234012603759766,1.8579998016357422,2.252300262451172,-0.4973246408079497,0.6133993273910097,,
5BZBJ1748+7005,17 48 32.83,+70 05 50.78,0.77,BLLac,0.46,-0.575,-0.448,0.199,0.07,-0.093,-0.638,-0.441,-0.241,-0.029,0.512,0.68,0.829,0.517,0.6,6.869,2777.342964994852,2103.1025031780373,4913.056066876789,43.456758601252446,-0.9987516388108827,-0.04995161631595131,0.9402729111659391,0.2052391614416935,0.22185456844684173,-11.704699671684232,-11.514567976134417,-11.22185806105645,-11.06555820425785,-11.058410882036956,-11.281670900503677,-11.270688230670626,,,,,,-11.273158071885007,-11.259110225603008,-11.243436506941743,-11.304644109956387,-11.29281114265864,-11.34426439783558,-11.314579407032282,0.032632319872369975,0.3048110926159168,14.122975509322991,-27.909158618037115,-31.589758975092778,88.23054227279992,-12.142667503568731,112.3268346144418,-9.774099394790252,62.52094622905156,-12.987584625237567,-11.300595918184662,-12.366178192698321,1.5257599902445662,0.6610998611450203,0.23269999694824328,-0.40489991760254185,0.14159962463379117,3.9439006500244123,1.012999534606939,2.706999778747555,2.2230005264282227,0.9188924070051456,,,,,,1.1588999404907234,0.8380006713867179,0.7889992675781219,1.158000770568849,1.833700180053711,1.496699333190918,0.5480995178222638,1.0943002700805646,0.8908004760742188,-0.6214064325392457,-0.23440026062168506,0.22175683347577646,0.8498563609100902
5BZBJ1749+4321,17 49 00.36,+43 21 51.29,,BLLac,0.638,,-0.186,0.211,0.339,0.5,-0.03,0.161,0.177,,0.307,0.475,0.297,0.252,0.104,,,,,,-0.998849642207118,-0.04795197871529676,0.6866339917895877,0.2539258212030996,0.2723478435826532,,-12.19260598608009,,,,,,-12.02823691334496,-11.981035672948101,-11.947390010090885,-11.910092845230189,-11.893981941995818,-11.998357626328367,-11.969110176774885,-11.943436448958344,-11.771044256440764,-11.740410935139112,-11.70706423304066,-11.62977944975689,-0.15743351041833673,,,,,,-12.744727494896694,,-9.982375337217334,,-13.408267761048164,,-12.761013525918658,,,,,,,1.060000419616701,2.918999671936037,2.3420000076293963,,0.8772548564173448,0.4209999999999994,0.379999999999999,0.3030000000000044,0.232999999999997,,0.8759996795654317,0.8139992904663096,1.7420002593994095,,,,,,-0.6472542351295054,,0.4521950509409791,1.0043165597575818
5BZQJ1749-6258,17 49 25.7,-62 58 18.91,1.215,BZQ,0.594,,,-1.203,,,,0.355,-0.133,,,0.364,0.339,,0.011,5.035,3887.6406107785074,2665.42708567332,8601.374811636704,44.67283936400154,-0.9989363109916045,-0.04611124138953919,-0.890783917284942,0.6730524039005067,0.7241525369476438,-12.047707454700706,-11.633203708734094,,,,,,,,,,,,,,,,,,,,14.11890557536562,,,,,,,62.88245770946891,-13.433916215832005,,-13.031050319018657,,,,,,,,,,1.479822533047141,,,,,,,,,,,,,,,-0.4028658968133474,,,
5BZGJ1750+4700,17 50 05.01,+47 00 43.41,0.16,BZG,0.385,,-1.254,-0.981,-1.629,-2.445,,,,,,,,,,11.666,680.9097148894477,632.2591843424692,789.8278280203023,39.48766215588305,-0.999064047451508,-0.04325539376552929,0.7314972171724021,0.2466590704070569,0.26352199224787637,-12.653229508098086,-12.594519246614002,-12.149457914572075,-12.058198380649449,-11.978931051104338,-11.929870732656996,-11.891047858966523,-12.251436913344962,-11.892635672948101,-11.612990010090883,-11.51929284523019,-11.470381941995818,-11.708358074936763,-11.702710411760236,-11.738636253645844,-11.989844228974938,-12.255211197590283,-12.777864251351208,-12.748179642017632,0.962058384176299,-0.8622058008207542,13.027899780665944,-21.63876174999926,-25.907662232177003,85.61140920972036,-11.692503962086787,,,57.1425649326433,-13.858236769724211,,-13.42021640338319,1.9066385326544655,0.4984990539550864,0.41300001525878116,0.27590092468261673,0.21120013427734463,3.7817994232177785,0.31999969482420987,1.5290002822875994,2.222999572753908,0.5903388218408239,1.3240380077521188,1.2000000000000028,0.995000000000001,0.44399999999999906,0.3150000000000013,1.6217990036010779,0.8170002136230394,0.6600003662109408,0.6829998397827204,0.21630096435546875,0.11809921264648082,0.21199989318848012,0.22980117797851562,0.3657989501953125,-0.43802036634102137,-0.276280146485945,0.33930804902371925,-0.5627072355034954
5BZBJ1751+0939,17 51 32.82,+09 39 00.68,0.322,BLLac,0.649,0.423,0.655,0.445,0.446,0.448,0.403,0.419,0.427,0.427,0.738,0.789,0.806,0.763,0.827,10.0,1313.457920593203,1143.199454003449,1736.1669079210185,41.19795737063285,-0.9993198929748789,-0.036874808537491234,0.16763237705276027,1.2449053755350443,1.3366620033284826,-11.008005106046891,-10.72227052218176,-11.50485840895684,-11.619597983920938,-11.56757057136801,-11.218830669180434,-11.415368354571992,,,,,,-10.9107578338479,-10.91511051857176,-10.809836302473968,-11.312644293061854,-11.250411164020948,-11.180264268135874,-11.02537957793072,-0.32106625353615353,-0.7167558994729633,13.304102124425814,-24.37745816408988,-29.31095728670951,86.64412796158501,-11.928117992693874,111.03052075654294,-9.433560857842597,61.51525112547291,-13.059383917662592,-10.381069560347939,-11.989456245272589,-1.1624845143880531,-0.016498718261718892,0.3449002227783211,1.025099884033203,-0.3772012634277324,4.285600502014159,1.1389999389648402,3.0110001564025914,2.5359997749328613,1.157899627793439,,,,,,2.4266008453369086,0.7919993438720709,1.0130005111694391,0.05399980163574014,1.4003009796142578,0.5261993408203125,0.2945995330810547,0.5376996994018555,0.6056995391845703,-1.069927672390003,0.31715940734706294,-0.5281406418391885,0.6777068286729264
5BZQJ1752+1734,17 52 46.0,+17 34 20.38,0.505,BZQ,0.52,0.815,-0.258,0.074,0.174,0.301,-0.544,-0.239,-0.141,,0.24,0.276,0.225,0.058,,8.504,1959.8516918088403,1601.6809473749624,2948.727907998464,42.348173500760666,-0.9995019812842525,-0.03155613108183142,0.3019094916818149,0.5173346690831985,0.5524801706505224,,,-11.490738395529105,-11.68387833670414,-11.690570888750823,-11.79843121849684,-11.583448365558322,,,,,,-11.638757949814694,-11.679910427019024,-11.794236262801116,-11.835044195405603,-11.76001123115962,-11.844664178109019,-11.765779510792047,-0.027514453661602805,0.5179720204720204,13.245551231186694,-25.220173500760666,-29.155173660977958,87.4761263253708,-12.0268721464003,,,60.84291091403399,-13.321117585329263,,-12.708409174341998,,-0.212499633789065,0.19810031127929761,-0.11640069580078105,0.6516000823974615,3.39980077362061,1.1709995269775302,2.62400054931641,2.3459997177124023,,,,,,,1.0268005828857394,0.6999998626709001,0.4640003814697309,1.2089999465942398,0.32489967346191406,0.05589866638183594,0.177398681640625,0.24399948120117188,0.0699005126953125,-0.6127084109872651,-0.0694403424087966,,0.2668609152406809
